Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
54,Babe,40,1033,38.72216844,32,,,
70,Dash Feathers,14,380,36.84210526,33,,,
71,KELSO,13,462,28.13852814,34,,,
,,,,,,,,
,Played Totals,2607,45443,55.81819243,,,,
,,,,,,,,
,Rush Schnitzel,,317,Kick,,,,
,Sebastin,,216,Kick,,,,
,Zoom Flocker,,336,,,,,
,,,,,,,,
,Not Played Totals,3,869,1.88%,2655.91784,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.92%,,,,
,,,,,,,,
,Not Played + Holding Pen,,1297,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
WON,Ekatepnhbypr96,Russia,3403,2646,22.25%,42694,36789,13.83%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
14,Pomelo,140,1251,111.9104716,1,,,
5,Eggy Strike,249,2248,110.7651246,2,,,
2,Ave Falcon,287,2611,109.919571,3,,,
4,Bossy,249,2329,106.9128381,4,,,
6,Jim Me,208,1983,104.8915784,5,,,
13,Jake,140,1564,89.5140665,6,,,
27,Lily,94,1120,83.92857143,7,,,
35,Mi Hung Lo,63,841,74.91082045,8,,,
8,Mindy,157,2106,74.54890788,9,,,
